"","Case","Record type","Case stage","Case before","Filing party","Document date","Filing date","Filing number","Document reference","Original language","Number of pages","File size","Langue Document","Titre","URL"
"5508","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Pre-trial judge","Pre Trial Judge","18-05-2012","18-05-2012","F0256","STL-11-01/PT/PTJ/F0256/20120518/R121919-R121948/EN/pvk","English","30","722.81 KB","ENGLISH","Decision on the VPU’s Access to Materials and the Modalities of Victims’ Participation in Proceedings before the Pre Trial Judge","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120518_F0256_PUBLIC_PTJ_Decision_Modalities_Participation_Victim_Legal_Rep_WEB_EN.pdf"
"5509","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Pre-trial judge","Pre Trial Judge","18-05-2012","11-06-2012","F0256","STL-11-01/PT/PTJ/F0256/20120611/R122593-R122625/EN-FR/pvk","English","33","586.07 KB","FRANÇAIS","Decision on the VPU’s Access to Materials and the Modalities of Victims’ Participation in Proceedings before the Pre Trial Judge","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120611_F0256_PUBLIC_PTJ_Decision_Modalities_Participation_Victim_Legal_Rep_WEB_EN_FR.pdf"
"5510","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Pre-trial judge","Pre Trial Judge","18-05-2012","12-07-2012","F0256","STL-11-01/PT/PTJ/F0256/20120712/R124534-R124568/EN-AR/pvk","English","35","597.38 KB","عربي","Decision on the VPU’s Access to Materials and the Modalities of Victims’ Participation in Proceedings before the Pre Trial Judge","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120712_F0256_PUBLIC_PTJ_Decision_Modalities_Participation_Victim_Legal_Rep_Filed_EN-AR_LW.pdf"
"5511","Ayyash et al. (STL-11-01)","Addendum / Supplement","Pre-trial","Pre-trial judge","Counsel","18-05-2012","18-05-2012","F0253","STL-11-01/PT/PTJ/F0253/20120518/R121904-R121908/EN/nc","English","5","76.05 KB","ENGLISH","Supplement to “Defence for Salim Ayyash Response to Prosecution Application for Interim Non-Disclosure of Identities of Witnesses and Victims”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120518_F0253_PUBLIC_Ayyash_Defence_Supplement_to_Ayyash_Response_to_OTP_Application_Non_disclosure_Filed_EN_BW_Web.pdf"
"5512","Ayyash et al. (STL-11-01)","Request","Pre-trial","Trial chamber","Counsel","18-05-2012","18-05-2012","F0255","STL-11-01/PT/TC/F0255/20120518/R121913-R121918/FR/pvk","Français","6","112.68 KB","FRANÇAIS","Oneissi Defence Request to Extend the Number of Pages or Words for its Request for Reconsideration of the Decision to Hold in Absentia Proceedings of 1 February 2012","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120518_F0255_PUBLIC_Oneissi_Requte_extension_nombre_de_pages_ou_mots_re_rexamen_Filed_FR_BW_Web.pdf"
"5513","Ayyash et al. (STL-11-01)","Request","Pre-trial","Trial chamber","Counsel","18-05-2012","14-07-2015","F0255","STL-11-01/PT/TC/F0255/20150714/R276173-R276178/FR-EN/af","Français","6","465.2 KB","ENGLISH","Oneissi Defence Request to Extend the Number of Pages or Words for its Request for Reconsideration of the Decision to Hold in Absentia Proceedings of 1 February 2012","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150714_F0255_PUBLIC_Oneissi_Requete_extension_nombre_de_pages_ou_mots_re_reexamen_FR-EN_Web.pdf"
"5514","Ayyash et al. (STL-11-01)","Response","Pre-trial","Trial chamber","Counsel","17-05-2012","17-05-2012","F0252","STL-11-01/PT/TC/F0252/20120517/R121886-R121890/EN/nc","English","5","75.78 KB","ENGLISH","Joint Defence Response to Prosecution Request on Extension of Word Limits and Time for The Filing of Prosecution Response to Preliminary Motions Challenging Jurisdiction","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120517_F0252_PUBLIC_DC_Joint_Defence_Response_to_OTP_Request_on_Extension_WordTime_Limits_Filed_EN_BW_Web.pdf"
"5515","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Trial chamber","Trial Chamber","16-05-2012","17-05-2012","F0251","STL-11-01/PT/TC/F0251/20120517/R121880-R121885/FR/nc","Français","6","143.94 KB","FRANÇAIS","Decision on Request for Extension of the Page Limit Concerning the Reconsideration Procedure Filed by the Badreddine Defence","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120517_F0251_PUBLIC_TC_Dcision_re_demande_daugmentation_du_nombre_de_limite_de_pages_Filed_FR_BW_Web.pdf"
"5516","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Trial chamber","Trial Chamber","16-05-2012","25-05-2012","F0251","STL-11-01/PT/TC/F0251/20120525/R122300-R122305/FR-EN/nc","Français","6","96.81 KB","ENGLISH","Decision on Request for Extension of the Page Limit Concerning the Reconsideration Procedure Filed by the Badreddine Defence","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120525_F0251_PUBLIC_TC_Dcision_re_demande_daugmentation_du_nombre_de_limite_de_pages_WEB_FR_EN.pdf"
"5517","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Trial chamber","Trial Chamber","16-05-2012","01-02-2017","F0251","STL-11-01/PT/TC/F0251/20170201/R292538-R292543/FR-AR/af","Français","6","2.12 MB","عربي","Decision on Request for Extension of the Page Limit Concerning the Reconsideration Procedure Filed by the Badreddine Defence","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20170201_F0251_PUBLIC_TC_Dcision_re_demande_du_nombre_de_limite_FR-AR_Web.pdf"
"5518","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","16-05-2012","16-05-2012","F0250","STL-11-01/PT/TC/F0250/20120516/R121868-R121879/EN/pvk","English","12","222.57 KB","ENGLISH","Ayyash and Sabra Motion for Leave to Seek Reconsideration","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120516_F0250_PUBLIC_AyyashSabra_Motion_Authorisation_Request_Reconsideration_WEB_EN.pdf"
"5519","Ayyash et al. (STL-11-01)","Other","Pre-trial","Pre-trial judge","Registry","16-05-2012","16-05-2012","F0249","STL-11-01/PT/PTJ/F0249/20120516/R121861-R121867/EN/pvk","English","7","130.91 KB","ENGLISH","Designation of Victims' Legal Representatives","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120516_F0249_PUBLIC_Reg_Designation_Legal_Rep_for_Victim_Participants_Filed_EN_BW_Web.pdf"
"5520","Ayyash et al. (STL-11-01)","Other","Pre-trial","Pre-trial judge","Registry","16-05-2012","21-05-2012","F0249","STL-11-01/PT/PTJ/F0249/20120521/R121956-R121964/EN-AR/pvk","English","8","2.81 MB","عربي","Designation of Victims' Legal Representatives","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120521_F0249_PUBLIC_Reg_Designation_Legal_Rep_for_Victim_Participants_WEB_EN_AR_BW.pdf"
"5521","Ayyash et al. (STL-11-01)","Other","Pre-trial","Pre-trial judge","Registry","16-05-2012","21-05-2012","F0249","STL-11-01/PT/PTJ/F0249/20120521/R121956-R121964/EN-AR/pvk","English","8","2.81 MB","عربي","Designation of Victims' Legal Representatives","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120521_F0249_PUBLIC_Reg_Designation_Legal_Rep_for_Victim_Participants_WEB_EN_AR_BW.pdf"
"5522","Ayyash et al. (STL-11-01)","Other","Pre-trial","Appeals chamber","Registry","16-05-2012","16-05-2012","F0249","STL-11-01/PT/PTJ/F0249/20120516/R121861-R121867/EN/pvk","English","7","130.91 KB","ENGLISH","Designation of Victims' Legal Representatives","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120516_F0249_PUBLIC_Reg_Designation_Legal_Rep_for_Victim_Participants_Filed_EN_BW_Web_1.pdf"
"5523","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Trial chamber","Trial Chamber","15-05-2012","15-05-2012","F0246","STL-11-01/PT/TC/F0246/20120515/R121845-R121851/FR/nc","Français","7","135.09 KB","FRANÇAIS","Decision Authorising the Badreddine Defence and the Oneissi Defence to File a Request for Reconsideration","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120515_F0246_PUBLIC_TC_Dcision_autorisant_la_dfense_BadreddineOneissi_dposer_requte__rexamen_Filed_FR_BW_Web.pdf"
"5524","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Trial chamber","Trial Chamber","15-05-2012","25-05-2012","F0246","STL-11-01/PT/TC/F0246/20120525/R122264-R122270/FR-EN/nc","Français","7","122.39 KB","ENGLISH","Decision Authorising the Badreddine Defence and the Oneissi Defence to File a Request for Reconsideration","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120525_F0246_PUBLIC_TC_Dcision_autorisant_la_dfense_BadreddineOneissi_dposer_requte__rexamen_WEB_FR_EN.pdf"
"5525","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Trial chamber","Trial Chamber","15-05-2012","18-09-2013","F0246","STL-11-01/PT/TC/F0246/20130918/R244651-R244658/FR-AR/af","Français","8","2.91 MB","عربي","Decision Authorising the Badreddine Defence and the Oneissi Defence to File a Request for Reconsideration","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20130918_F0246_PUBLIC_TC_Decision_autorisant_la_defense_Badreddine_Oneissi_deposer_requete__reexamen_FR-AR_web.pdf"
"5526","Ayyash et al. (STL-11-01)","Submission","Pre-trial","Pre-trial judge","Counsel","15-05-2012","15-05-2012","F0245","STL-11-01/PT/PTJ/F0245/PRV/20120515/R121834-R121844/EN/nc","English","11","192.3 KB","ENGLISH","Public Redacted Version of Sabra Supplementary Submissions Regarding the Disclosure of Summaries in Lieu of Witness Statements","https://www.stl-tsl.org/crs/index.php/assets/Uploads/0120515_F0245_PUBLIC_Sabra_Defence_PRV_Supplementary_Submissions_re_Disclosure_of_Summaries_Filed_EN_BW_Web.pdf"
"5527","Ayyash et al. (STL-11-01)","Request","Pre-trial","Trial chamber","Prosecution","15-05-2012","16-05-2012","F0248","STL-11-01/PT/PTJ/F0248/20120516/R121855-R121860/EN/pvk","English","6","100.16 KB","ENGLISH","Prosecution Request on Extension of Word Limits and Time for the Filing of the Prosecution Response to Preliminary Motions Challenging Jurisdiction","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120516_F0248_PUBLIC_OTP_Request_Extension_Word_Time_Limits_Filed_BW_Web.pdf"
"5528","Ayyash et al. (STL-11-01)","Order","Pre-trial","Appeals chamber","Appeals Chamber","14-05-2012","14-05-2012","F0244","STL-11-01/PT/AC/R176bis/F0244/20120514/R121755-R121764/EN/nc","English","10","189.51 KB","ENGLISH","Order on Time Limit to File Rule 176 bis(C) Request","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120514_F0244_PUBLIC_AC_Order_on_Time_limit_to_file_Rule176bisC_Request_Filed_EN_BW_Web.pdf"
"5529","Ayyash et al. (STL-11-01)","Order","Pre-trial","Appeals chamber","Appeals Chamber","14-05-2012","25-05-2012","F0244","STL-11-01/PT/AC/R176bis/F0244/20120525/R122253-R122263/EN-FR/nc","English","11","206.2 KB","FRANÇAIS","Order on Time Limit to File Rule 176 bis(C) Request","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120525_F0244_PUBLIC_AC_Order_on_Time_limit_to_file_Rule176bisC_Request_WEB_EN_FR.pdf"
"5530","Ayyash et al. (STL-11-01)","Response","Pre-trial","Trial chamber","Prosecution","11-05-2012","11-05-2012","F0243","STL-11-01/PT/TC/F0243/20120511/R121743-R121751/EN/nc","English","9","157.04 KB","ENGLISH","Prosecution Response to the Badreddine Defence and Oneissi Defence Requests for Leave to Seek Reconsideration of the Trial in Absentia Decision","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120511_F0243_PUBLIC_OTP_Response_to_Badreddine_and_Oneissi_Def_Requests_re_Recons_Filed_BW.pdf"
"5531","Ayyash et al. (STL-11-01)","Response","Pre-trial","Pre-trial judge","Defence Office","11-05-2012","11-05-2012","F0242","STL-11-01/PT/PTJ/F0242/20120511/R121737-R121742/FR/nc","Français","6","149.01 KB","FRANÇAIS","Defence Office Observations in Response to the Prosecution Request Dated 2 May 2012 for an Order of Non-Disclosure","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120511_F0242_PUBLIC_DO_Reponse_a_la_requete_du_Procureur_du_2mai2012_Filed_FR_BW.pdf"
"5532","Ayyash et al. (STL-11-01)","Response","Pre-trial","Pre-trial judge","Defence Office","11-05-2012","15-10-2015","F0242","STL-11-01/PT/PTJ/F0242/20151015/R279300-R279305/FR-EN/dm","Français","6","401.76 KB","ENGLISH","Defence Office Observations in Response to the Prosecution Request Dated 2 May 2012 for an Order of Non-Disclosure","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20151015_F0242_PUBLIC_DO_Reponse_a_la_requete_du_Procureur_du_2mai2012_FR-EN_Web.pdf"
"5533","Ayyash et al. (STL-11-01)","Response","Pre-trial","Pre-trial judge","Counsel","11-05-2012","11-05-2012","F0241","STL-11-01/PT/PTJ/F0241/20120511/R121681-R121697/FR/pvk","Français","17","292.82 KB","FRANÇAIS","Joint Defence Response to the “Prosecution Request for an Order of Non-Disclosure” of 2 May 2012","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120511_F0241_PUBLIC_DC_Response_a_Requete_Procureur_02mai2012_WEB_FR.pdf"
"5534","Ayyash et al. (STL-11-01)","Response","Pre-trial","Pre-trial judge","Counsel","11-05-2012","14-08-2015","F0241","STL-11-01/PT/PTJ/F0241/20150814/R276755-R276772/FR-EN/dm","Français","18","1.23 MB","ENGLISH","Joint Defence Response to the “Prosecution Request for an Order of Non-Disclosure” of 2 May 2012","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150817_F0241_PUBLIC_DC_Response_a_Requete_Procureur_02mai2012_FR-EN_Web.pdf"
"5535","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Pre-trial judge","Pre Trial Judge","10-05-2012","10-05-2012","F0240","STL-11-01/PT/PTJ/F0240/20120511/ R121678-R121680/FR/pvk","Français","3","50.66 KB","FRANÇAIS","Decision on the Requests from the Badreddine Defence and the Oneissi Defence Relating to the Extension of Time for Filing Preliminary Motions Challenging the Jurisdiction of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120511_F0240_PUBLIC_PTJ_Decision_WEB_FR.pdf"
"5536","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Pre-trial judge","Pre Trial Judge","10-05-2012","02-07-2015","F0240","STL-11-01/PT/PTJ/F0240/20150702/R275744-R275746/FR-EN/af","Français","3","206.58 KB","ENGLISH","Decision on the Requests from the Badreddine Defence and the Oneissi Defence Relating to the Extension of Time for Filing Preliminary Motions Challenging the Jurisdiction of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150702_F0240_PUBLIC_PTJ_Decision_FR-EN_Web.pdf"
"5537","Ayyash et al. (STL-11-01)","Corrigendum","Pre-trial","Trial chamber","Counsel","10-05-2012","10-05-2012","F0238","STL-11-01/PT/TC/F0238/CRG/20120510/ R121647-R121649/EN/pvk","English","3","40.65 KB","ENGLISH","Corrigendum to the Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_Oneissi_CorrigendumDefence_Preliminary_Motion_on_Jurisdiction_R90i_WEB_EN.pdf"
"5538","Ayyash et al. (STL-11-01)","Corrigendum","Pre-trial","Trial chamber","Trial Chamber","09-05-2012","09-05-2012","F0235","STL-11-01/PT/TC/F0235/CRG/20120509/R121342-R121343/EN/pvk","English","2","41.64 KB","ENGLISH","Corrigendum to “Decision on Extension of Word Limits for the Filing of Preliminary Motions Challenging Jurisdiction""","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120509_F0235_PUBLIC_Corrigendum_to_TC_Decision_Ext_Limits_Prelim_Motions_Filed_EN.pdf"
"5539","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","09-05-2012","F0237","STL-11-01/PT/TC/F0237/20120509/R121344-R121367/EN/pvk","English","24","467.27 KB","ENGLISH","Sabra’s Preliminary Motion Challenging the Jurisdiction of the Special Tribunal for Lebanon","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120509_F0237_PUBLIC_Sabra_Defence_Preliminary_Motion_Challenging_Jurisdiction_of_STL_Filed_EN_BW_Web.pdf"
"5540","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","10-05-2012","F0239","STL-11-01/PT/TC/F0239/20120510/ R121572-R121600/FR/pvk","Français","29","479.76 KB","FRANÇAIS","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0239_PUBLIC_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR.pdf"
"5541","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0239",NA,"Français","4","93.67 KB","ANNEXE A","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0239_PUBLIC_A01_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR.pdf"
"5542","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0239",NA,"Français","2","36.71 KB","ANNEXE B","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0239_PUBLIC_A02_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR.pdf"
"5543","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0239",NA,"Français","14","392.48 KB","ANNEXE C","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0239_PUBLIC_A03_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR.pdf"
"5544","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0239",NA,"Français","13","271.74 KB","ANNEXE D","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0239_PUBLIC_A04_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR.pdf"
"5545","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0239",NA,"Français","5","141.1 KB","ANNEXE E","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0239_PUBLIC_A05_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR.pdf"
"5546","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0239",NA,"Français","2","55.75 KB","ANNEXE F","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0239_PUBLIC_A06_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR.pdf"
"5547","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0239",NA,"Français","3","70.92 KB","ANNEXE G","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0239_PUBLIC_A07_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR.pdf"
"5548","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0239",NA,"Français","3","54.25 KB","ANNEXE H","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0239_PUBLIC_A08_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR.pdf"
"5549","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","07-06-2012","F0239","STL-11-01/PT/TC/F0239/20120607/R122537-R122565/FR-EN/pvk","Français","29","478.82 KB","ENGLISH","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120607_F0239_PUBLIC_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR_EN.pdf"
"5550","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0239",NA,"Français","3","53.13 KB","ANNEX H - ENGLISH","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120607_F0239_PUBLIC_A08_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR_EN.pdf"
"5551","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0239",NA,"Français","13","278.87 KB","ANNEX D - ENGLISH","Preliminary Motion Challenging Jurisdiction of the Special Tribunal for Lebanon Filed by the Defence of Mr. Badreddine","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120611_F0239_PUBLIC_A04_Badreddine_Defence_Exception_Prjudielle_dincompetence_tribunal_WEB_FR_EN.pdf"
"5552","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","10-05-2012","F0238","STL-11-01/PT/TC/F0238/20120510/R121490-R121517/EN/pvk","English","28","464.77 KB","ENGLISH","The Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_Oneissi_Defence_Motion_Preliminary_Challenging_the_Legality_of_STL_Filed_EN_BW_Web.pdf"
"5553","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0238",NA,"English","2","33.71 KB","ANNEX 1","The Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_Annex1_Oneissi_Defence_Preliminary_Motion_Challenging_the_Legality_of_STL_Filed_EN_BW_Web.pdf"
"5554","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0238",NA,"English","4","90.18 KB","ANNEX A","The Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_AnnexA_Oneissi_Defence_Preliminary_Motion_Challenging_the_Legality_of_STL_Filed_EN_BW_Web.pdf"
"5555","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0238",NA,"English","2","42.44 KB","ANNEX B","The Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_AnnexB_Oneissi_Defence_Preliminary_Motion_Challenging_the_Legality_of_STL_Filed_EN_BW_Web.pdf"
"5556","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0238",NA,"English","14","375.42 KB","ANNEX C","The Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_AnnexC_Oneissi_Defence_Preliminary_Motion_Challenging_the_Legality_of_STL_Filed_EN_AR_BW_Web.pdf"
"5557","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0238",NA,"English","3","56.45 KB","ANNEX D","The Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_AnnexD_Oneissi_Defence_Preliminary_Motion_Challenging_the_Legality_of_STL_Filed_EN_BW_Web.pdf"
"5558","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0238",NA,"English","5","97.38 KB","ANNEX E","The Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_AnnexE_Oneissi_Defence_Preliminary_Motion_Challenging_the_Legality_of_STL_Filed_EN_BW_Web.pdf"
"5559","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0238",NA,"English","17","375.94 KB","ANNEX F","The Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_AnnexF_Oneissi_Defence_Preliminary_Motion_Challenging_the_Legality_of_STL_Filed_AR_BW_Web.pdf"
"5560","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0238",NA,"English","4","51.82 KB","ANNEX G","The Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_AnnexG_Oneissi_Defence_Preliminary_Motion_Challenging_the_Legality_of_STL_Filed_EN_BW_Web.pdf"
"5561","Ayyash et al. (STL-11-01)","Motion","Pre-trial","Trial chamber","Counsel","09-05-2012","30-11--0001","F0238",NA,"English","3","159.01 KB","ANNEX H","The Defence for Mr. Hussein Hassan Oneissi’s Motion Challenging the Legality of the Tribunal","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120510_F0238_PUBLIC_AnnexH_Oneissi_Defence_Preliminary_Motion_Challenging_the_Legality_of_STL_Filed_EN_BW_Web.pdf"
"5562","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Pre-trial judge","Pre Trial Judge","08-05-2012","08-05-2012","F0236","STL-11-01/PT/PTJ/F0236/20120508/R121249-R121291/EN/nc","English","43","853.51 KB","ENGLISH","Decision on Victims' Participation in the Proceedings","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120508_F0236_PUBLIC_PTJ_Decision_re_Victims_Participation_WEB_EN.pdf"
"5563","Ayyash et al. (STL-11-01)","Decision","Pre-trial","Pre-trial judge","Pre Trial Judge","08-05-2012","24-05-2012","F0236","STL-11-01/PT/PTJ/F0236/20120524/R122132-R122177/EN-FR/pvk","English","46","881.53 KB","FRANÇAIS","Decision on Victims' Participation in the Proceedings","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20120524_F0236_PUBLIC_PTJ_Decision_re_Victims_Participation_WEB_EN_FR.pdf"
